ID,Overall_Experience,Seat_Comfort,Seat_Class,Arrival_Time_Convenient,Catering,Platform_Location,Onboard_Wifi_Service,Onboard_Entertainment,Online_Support,Ease_of_Online_Booking,Onboard_Service,Legroom,Baggage_Handling,CheckIn_Service,Cleanliness,Online_Boarding
98800083,1,Excellent,Ordinary,Excellent,Excellent,Manageable,Needs Improvement,Excellent,Needs Improvement,Needs Improvement,Good,Needs Improvement,Good,Good,Excellent,Needs Improvement
98800084,1,Poor,Ordinary,Poor,Poor,Inconvenient,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good
98800085,0,Acceptable,Green Car,Good,Acceptable,Manageable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Good,Excellent,Excellent,Acceptable
98800086,1,Extremely Poor,Ordinary,Extremely Poor,,Inconvenient,Needs Improvement,Good,Poor,Needs Improvement,Needs Improvement,Good,Good,Needs Improvement,Needs Improvement,Excellent
98800087,1,Excellent,Green Car,Excellent,,Needs Improvement,Poor,Excellent,Poor,Poor,Excellent,Acceptable,Excellent,Excellent,Excellent,Poor
98800088,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Good,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Excellent
98800089,0,Needs Improvement,Ordinary,Good,Needs Improvement,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,,Excellent,Excellent,Acceptable,Excellent,Needs Improvement
98800090,0,Needs Improvement,Green Car,Good,Needs Improvement,Needs Improvement,Poor,Needs Improvement,Poor,Poor,Acceptable,Good,Good,Excellent,Excellent,Poor
98800091,1,Excellent,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Good,Acceptable,Poor,Excellent
98800092,1,Poor,Green Car,Poor,Poor,Inconvenient,Needs Improvement,Poor,Acceptable,Good,Good,Good,Good,Good,Good,Acceptable
98800093,1,Good,Green Car,Good,Good,Convenient,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent
98800094,0,Poor,Green Car,Poor,Poor,Inconvenient,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Needs Improvement,Poor
98800095,1,Good,Green Car,Good,Good,Convenient,Good,Good,Good,Good,Needs Improvement,Needs Improvement,Excellent,Acceptable,Acceptable,Good
98800096,1,Good,Ordinary,Extremely Poor,Good,Needs Improvement,Needs Improvement,Good,Needs Improvement,Needs Improvement,Good,Needs Improvement,Acceptable,Good,Excellent,Needs Improvement
98800097,1,Excellent,Ordinary,Extremely Poor,Excellent,Manageable,Acceptable,Excellent,Poor,Acceptable,Good,Good,Good,Acceptable,Good,Acceptable
98800098,1,Poor,Green Car,Poor,Poor,Inconvenient,Good,Good,Good,Good,Excellent,Good,Good,Poor,Needs Improvement,Good
98800099,1,Excellent,Green Car,,Excellent,Very Convenient,Needs Improvement,Good,Good,Good,Good,Good,Good,Excellent,Good,Acceptable
98800100,0,Acceptable,Ordinary,Good,Acceptable,Manageable,Poor,Acceptable,Poor,Poor,Acceptable,Acceptable,Good,Good,Excellent,Poor
98800101,0,Acceptable,Green Car,Excellent,Excellent,Very Convenient,Poor,Acceptable,Good,Acceptable,Acceptable,Acceptable,Acceptable,Good,Acceptable,Poor
98800102,0,Poor,Green Car,Poor,Poor,Convenient,Needs Improvement,Poor,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Good,Poor,Good,Needs Improvement
98800103,0,Needs Improvement,Green Car,Good,Needs Improvement,Manageable,Poor,Needs Improvement,Poor,Poor,Good,Excellent,Excellent,Good,Excellent,Poor
98800104,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Poor,Excellent,Needs Improvement,Good,Good,Good,Good,Needs Improvement,Good,Excellent
98800105,0,Needs Improvement,Green Car,Acceptable,Acceptable,Manageable,Excellent,Good,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement
98800106,1,Good,Ordinary,,Good,Convenient,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Good,Good
98800107,1,Excellent,Green Car,Excellent,Excellent,Needs Improvement,Acceptable,Excellent,Acceptable,Acceptable,Excellent,Needs Improvement,Good,Excellent,Excellent,Acceptable
98800108,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Excellent,Good,,Good,Good,Acceptable,Good,Excellent
98800109,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Needs Improvement,Needs Improvement,Excellent
98800110,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Excellent,Good,Needs Improvement,Excellent,,Excellent,Excellent,Poor,Excellent,Needs Improvement
98800111,1,Acceptable,Ordinary,Acceptable,Excellent,Manageable,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent
98800112,1,Needs Improvement,Green Car,,Needs Improvement,Needs Improvement,Poor,Acceptable,Poor,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Good
98800113,1,Good,Ordinary,Good,Good,Convenient,Good,Good,Good,Good,Acceptable,Needs Improvement,Good,Poor,Excellent,Good
98800114,0,Poor,Ordinary,Good,Poor,Manageable,Excellent,Poor,Excellent,Excellent,Poor,Good,Needs Improvement,Poor,Poor,Excellent
98800115,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable
98800116,0,Acceptable,Green Car,Poor,Poor,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Needs Improvement,Good,Poor,Good,Acceptable
98800117,1,Excellent,Ordinary,Excellent,Needs Improvement,Very Convenient,Good,Good,Good,Good,Good,Acceptable,Excellent,Acceptable,Good,Good
98800118,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Good,Excellent,Excellent,Excellent,,Excellent,Excellent,Acceptable,Excellent,Good
98800119,1,Excellent,Green Car,Extremely Poor,Excellent,Manageable,Good,Excellent,Good,Good,Excellent,Good,Good,Acceptable,Good,Good
98800120,1,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Needs Improvement,Needs Improvement,Excellent,Excellent,Good,Excellent
98800121,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Excellent,Excellent,Excellent,Excellent,Acceptable,Acceptable,Good,Excellent,Acceptable,Excellent
98800122,0,Acceptable,Ordinary,Acceptable,Acceptable,Convenient,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Needs Improvement,Good,Needs Improvement,Excellent,Acceptable
98800123,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Acceptable,Good,Good,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Good
98800124,0,Needs Improvement,Green Car,Poor,Needs Improvement,Manageable,Acceptable,Needs Improvement,Acceptable,Acceptable,Needs Improvement,Good,Acceptable,Poor,Good,Acceptable
98800125,0,Good,Ordinary,Good,Good,Manageable,Needs Improvement,Good,Needs Improvement,Needs Improvement,,Needs Improvement,Excellent,Acceptable,Good,Needs Improvement
98800126,0,Good,Green Car,,Good,Manageable,Good,Good,Good,Good,Good,Needs Improvement,Good,Good,Excellent,Good
98800127,1,Excellent,Green Car,Good,Good,Convenient,Needs Improvement,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Excellent
98800128,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Acceptable
98800129,1,Acceptable,Ordinary,Acceptable,Good,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Needs Improvement,Good,Excellent,Excellent,Needs Improvement
98800130,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Needs Improvement,Excellent,Excellent,Good,Good,Good,Good,Acceptable,Good,Acceptable
98800131,1,Poor,Ordinary,Poor,Needs Improvement,Inconvenient,Good,Excellent,Poor,Acceptable,,Good,Acceptable,Excellent,Acceptable,Needs Improvement
98800132,0,Needs Improvement,Green Car,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Acceptable,Good,Excellent,Excellent,Needs Improvement
98800133,1,Excellent,Ordinary,Poor,Poor,Inconvenient,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Poor,Needs Improvement,Excellent
98800134,0,Needs Improvement,Green Car,Good,Good,Convenient,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Good,Poor,Acceptable,Needs Improvement
98800135,0,Acceptable,Green Car,Good,Acceptable,Very Convenient,Excellent,Acceptable,Needs Improvement,Excellent,Excellent,Good,Good,Acceptable,Needs Improvement,Excellent
98800136,0,Acceptable,Green Car,Excellent,Acceptable,Very Convenient,Good,Acceptable,Good,Good,Acceptable,Acceptable,Good,Good,Good,Good
98800137,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Needs Improvement,Good,Excellent,Excellent,Needs Improvement,Excellent,Excellent,Excellent,Excellent
98800138,0,Needs Improvement,Green Car,Good,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Poor,Excellent,Needs Improvement,Excellent,Excellent,Poor,Good,Poor
98800139,0,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Manageable,Good,Needs Improvement,Good,Good,Good,Excellent,Good,Acceptable,Excellent,Good
98800140,1,Excellent,Ordinary,Needs Improvement,Excellent,Manageable,Needs Improvement,Excellent,Needs Improvement,Needs Improvement,Acceptable,Excellent,Good,Needs Improvement,Good,Needs Improvement
98800141,0,Acceptable,Green Car,Needs Improvement,Acceptable,Convenient,Excellent,Acceptable,Excellent,Excellent,Acceptable,Excellent,Acceptable,Acceptable,Good,Excellent
98800142,1,Good,Green Car,Good,Good,Convenient,Excellent,Excellent,Excellent,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Acceptable
98800143,1,Good,Green Car,Good,Good,Convenient,Acceptable,Excellent,Good,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,Excellent
98800144,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Acceptable,Good,Good,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Good
98800145,0,Acceptable,Ordinary,Acceptable,Acceptable,Needs Improvement,Excellent,Acceptable,Acceptable,Excellent,Acceptable,Good,Good,Good,Good,Excellent
98800146,0,Poor,Ordinary,Excellent,Poor,Needs Improvement,Good,Poor,Good,Good,Excellent,Acceptable,Good,Good,Good,Good
98800147,0,Good,Ordinary,Poor,Good,Needs Improvement,Needs Improvement,Good,Needs Improvement,Needs Improvement,Poor,Acceptable,Acceptable,Poor,Acceptable,Needs Improvement
98800148,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Needs Improvement,Excellent,Good,Good,Good,Good,Good,Acceptable,Good,Acceptable
98800149,1,Extremely Poor,Green Car,Excellent,Extremely Poor,Convenient,Good,Extremely Poor,Good,Good,Poor,Needs Improvement,Acceptable,Poor,Needs Improvement,Good
98800150,0,Needs Improvement,Ordinary,,Acceptable,Very Convenient,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Good,Acceptable,Acceptable,Acceptable,Needs Improvement
98800151,0,Good,Green Car,Excellent,Good,Needs Improvement,Acceptable,Good,Acceptable,Acceptable,,Poor,Good,Poor,Good,Acceptable
98800152,1,Excellent,Ordinary,,Excellent,Very Convenient,Needs Improvement,Poor,Good,Good,Good,Good,Good,Needs Improvement,Good,Good
98800153,0,Good,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Good,Good,Good,Good,Needs Improvement,Good,Good,Good,Good,Good
98800154,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Excellent,Excellent,Excellent,Excellent,Good,Needs Improvement,Excellent,Good,Good,Excellent
98800155,0,Acceptable,Green Car,Poor,,Manageable,Good,Acceptable,Good,Good,Poor,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Good
98800156,0,Good,Ordinary,Good,Good,Manageable,Needs Improvement,Good,Needs Improvement,Needs Improvement,Acceptable,Poor,Acceptable,Good,Acceptable,Needs Improvement
98800157,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Very Convenient,Poor,Needs Improvement,Poor,Poor,Good,Excellent,Excellent,Acceptable,Excellent,Poor
98800158,1,Good,Ordinary,Good,Good,Convenient,Acceptable,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent
98800159,0,Needs Improvement,Ordinary,Excellent,Needs Improvement,Very Convenient,Good,Needs Improvement,Good,Good,Acceptable,Good,Good,Acceptable,Excellent,Good
98800160,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Acceptable,Excellent,Excellent,Good,Good,Good,Good,Excellent,Good,Good
98800161,1,Needs Improvement,Green Car,Needs Improvement,Excellent,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Good,Acceptable,Good,Acceptable,Excellent,Excellent
98800162,1,Good,Ordinary,Good,,Manageable,Excellent,Good,Excellent,Excellent,Acceptable,Excellent,Good,Good,Good,Excellent
98800163,1,Good,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Good,Good,Good,Good,Good,Acceptable,Acceptable,Good,Needs Improvement,Good
98800164,1,Good,Ordinary,Good,Poor,Convenient,Needs Improvement,Excellent,Excellent,Good,Good,Excellent,Good,Acceptable,Good,Acceptable
98800165,0,Needs Improvement,Green Car,Acceptable,,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Good,Acceptable,Needs Improvement,Acceptable,Needs Improvement
98800166,0,Good,Ordinary,Good,Good,Convenient,Acceptable,Good,Acceptable,Acceptable,Acceptable,Needs Improvement,Acceptable,Good,Good,Acceptable
