ID,Gender,Customer_Type,Age,Type_Travel,Travel_Class,Travel_Distance,Departure_Delay_in_Mins,Arrival_Delay_in_Mins
98800246,Male,Loyal Customer,59,Personal Travel,Eco,2233,6,0
98800247,Female,Loyal Customer,64,Personal Travel,Business,1375,0,0
98800248,Male,Loyal Customer,16,Personal Travel,Business,1144,81,90
98800249,Male,Disloyal Customer,34,Business Travel,Eco,2353,159,164
98800250,Female,Disloyal Customer,50,Business Travel,Business,1648,0,5
98800251,Male,Loyal Customer,19,Personal Travel,Eco,1386,0,0
98800252,Female,Loyal Customer,40,Business Travel,Business,2504,126,115
98800253,Female,Loyal Customer,58,,Eco,978,29,37
98800254,Female,,32,Personal Travel,Eco,2243,6,0
98800255,Male,Loyal Customer,52,Business Travel,Eco,2575,0,0
98800256,Female,Disloyal Customer,57,,Eco,2667,154,144
98800257,Female,,34,Business Travel,Eco,1977,0,0
98800258,Male,Disloyal Customer,26,,Business,1873,0,0
98800259,Female,Loyal Customer,35,Business Travel,Business,1787,0,0
98800260,Female,Loyal Customer,27,Business Travel,Eco,1479,0,0
98800261,Female,Loyal Customer,62,Personal Travel,Eco,387,15,10
98800262,Male,Loyal Customer,34,Business Travel,Business,532,1,0
98800263,Female,Loyal Customer,35,Business Travel,Eco,1392,69,71
98800264,Male,Loyal Customer,45,Business Travel,Business,379,0,0
98800265,Male,Loyal Customer,44,Personal Travel,Eco,1341,7,15
98800266,Female,,37,Business Travel,Business,4019,0,NA
98800267,Male,Disloyal Customer,25,Business Travel,Business,1634,0,0
98800268,Female,Loyal Customer,68,,Eco,1058,0,0
98800269,Male,Disloyal Customer,49,Business Travel,Business,3188,0,0
98800270,Female,Disloyal Customer,22,Business Travel,Eco,1471,11,4
98800271,Male,Disloyal Customer,21,Business Travel,Eco,1690,0,4
98800272,Male,Loyal Customer,25,Personal Travel,Eco,3428,0,0
98800273,Female,Loyal Customer,42,Business Travel,Business,2440,9,12
98800274,Female,Loyal Customer,35,Personal Travel,Eco,2468,28,22
98800275,Female,Loyal Customer,32,Business Travel,Business,3651,0,0
98800276,Female,Loyal Customer,34,Business Travel,Business,3793,0,0
98800277,Male,Disloyal Customer,27,Business Travel,Business,1918,0,0
98800278,Female,Loyal Customer,28,Business Travel,Business,1662,14,0
98800279,Female,Disloyal Customer,27,Business Travel,Eco,1788,0,0
98800280,Male,Loyal Customer,55,,Eco,2131,0,0
98800281,Female,,57,Business Travel,Business,733,32,11
98800282,Male,Loyal Customer,53,,Eco,2224,0,0
98800283,Female,Loyal Customer,10,Personal Travel,Eco,2388,0,0
98800284,Male,Loyal Customer,20,Personal Travel,Eco,2677,0,0
98800285,Female,,67,Business Travel,Eco,634,0,0
98800286,Female,Disloyal Customer,42,Business Travel,Eco,1116,0,3
98800287,Female,Disloyal Customer,24,Business Travel,Business,1619,0,0
98800288,Female,Loyal Customer,35,Personal Travel,Eco,2038,0,0
98800289,Female,Loyal Customer,29,Business Travel,Business,891,0,2
98800290,Female,Loyal Customer,23,Personal Travel,Eco,3215,0,19
98800291,Female,Loyal Customer,65,Business Travel,Eco,74,16,6
98800292,Male,Loyal Customer,49,Personal Travel,Eco,2917,0,0
98800293,Male,Loyal Customer,52,Business Travel,Business,1655,0,0
98800294,Male,Loyal Customer,33,Business Travel,Eco,2952,3,5
98800295,Male,,69,Business Travel,Business,1904,0,0
98800296,Female,Loyal Customer,44,Business Travel,Business,1578,0,2
98800297,Male,Loyal Customer,37,Personal Travel,Eco,1951,0,18
98800298,Female,Loyal Customer,50,Personal Travel,Eco,220,7,9
98800299,Male,Loyal Customer,64,Personal Travel,Eco,3214,8,0
98800300,Male,Loyal Customer,48,,Business,610,5,15
98800301,Female,Loyal Customer,22,Business Travel,Business,2081,0,0
98800302,Male,Disloyal Customer,21,Business Travel,Eco,1359,0,0
98800303,Female,Loyal Customer,47,Business Travel,Eco,1196,38,14
98800304,Male,Loyal Customer,10,Personal Travel,Eco,2048,18,0
98800305,Male,Loyal Customer,7,Personal Travel,Eco,2178,1,0
98800306,Male,Loyal Customer,25,Business Travel,Business,2457,0,0
98800307,Male,Loyal Customer,60,Business Travel,Eco,1651,15,5
98800308,Male,Loyal Customer,48,Personal Travel,Eco,1458,0,0
98800309,Female,Loyal Customer,17,Business Travel,Business,2136,37,30
98800310,Male,,39,Business Travel,Business,2878,8,17
98800311,Male,Loyal Customer,65,Business Travel,Eco,2210,50,36
98800312,Female,Loyal Customer,55,,Business,2134,0,32
98800313,Male,Loyal Customer,34,,Business,831,65,74
98800314,Male,Loyal Customer,50,Business Travel,Eco,1616,0,21
98800315,Female,Loyal Customer,48,Personal Travel,Eco,634,6,0
98800316,Female,Loyal Customer,33,Business Travel,Business,222,1,0
98800317,Female,Loyal Customer,7,Personal Travel,Eco,2503,0,0
98800318,Female,Loyal Customer,48,Personal Travel,Eco,1876,0,0
98800319,Female,Loyal Customer,29,,Business,4026,41,26
98800320,Male,Loyal Customer,42,Business Travel,Business,1704,0,0
98800321,Female,,13,Business Travel,Eco,3484,47,42
98800322,Female,,55,Business Travel,Eco,378,0,0
98800323,Male,,16,Business Travel,Business,2358,30,1
98800324,Female,Disloyal Customer,27,Business Travel,Business,2810,22,3
98800325,Male,,46,Business Travel,Business,2735,3,0
98800326,Female,Disloyal Customer,38,Business Travel,Business,1062,0,8
98800327,Female,Loyal Customer,41,,Business,2915,0,14
98800328,Male,Loyal Customer,19,Business Travel,Eco,3852,0,8
98800329,Female,Loyal Customer,45,Business Travel,Business,376,98,105
98800330,Female,Loyal Customer,60,Business Travel,Eco,320,38,34
98800331,Female,Loyal Customer,8,Business Travel,Business,2445,0,0
98800332,Female,,54,Business Travel,Business,1820,0,0
98800333,Male,Loyal Customer,52,Personal Travel,Eco,1860,40,31
98800334,Female,Loyal Customer,48,Business Travel,Business,1908,2,0
98800335,Male,Loyal Customer,52,Business Travel,Business,3476,6,30
98800336,Male,Loyal Customer,8,Personal Travel,Eco,2571,0,0
98800337,Female,Loyal Customer,47,Business Travel,Business,910,4,0
98800338,Female,,41,Business Travel,Business,699,0,4
98800339,Male,Loyal Customer,17,Personal Travel,Eco,1435,6,0
98800340,Female,Loyal Customer,71,Business Travel,Business,3422,0,0
98800341,Male,Loyal Customer,35,Personal Travel,Eco,2160,4,1
98800342,Male,Loyal Customer,60,Business Travel,Business,1427,54,48
98800343,Female,Loyal Customer,37,,Business,3655,0,12
98800344,Female,Loyal Customer,20,Personal Travel,Eco,2338,7,0
98800345,Male,Loyal Customer,42,Business Travel,Business,1137,0,0
98800346,Male,Loyal Customer,57,Business Travel,Business,1708,12,12
98800347,Female,Loyal Customer,57,Personal Travel,Business,2409,131,126
98800348,Female,Loyal Customer,36,Business Travel,Business,130,0,0
98800349,Male,Loyal Customer,77,Business Travel,Business,2382,0,10
98800350,Female,Loyal Customer,37,Personal Travel,Eco,2056,107,124
98800351,Female,Disloyal Customer,15,Business Travel,Eco,2245,3,12
98800352,Male,Loyal Customer,28,Business Travel,Business,4202,14,17
98800353,Female,Loyal Customer,33,Personal Travel,Eco,1926,0,0
98800354,Male,Loyal Customer,60,Business Travel,Business,2910,9,22
98800355,Male,Loyal Customer,29,Personal Travel,Eco,2526,0,0
98800356,Male,Loyal Customer,34,Business Travel,Business,2172,0,6
98800357,Female,Loyal Customer,41,Business Travel,Business,881,0,0
98800358,Male,Disloyal Customer,24,Business Travel,Eco,1992,0,0
98800359,Female,Loyal Customer,41,Business Travel,Business,2616,0,0
98800360,Male,Loyal Customer,33,Business Travel,Business,4970,0,1
98800361,Female,Disloyal Customer,30,Business Travel,Eco,2941,0,5
98800362,Female,Disloyal Customer,22,Business Travel,Eco,1919,63,65
98800363,Female,Loyal Customer,28,Business Travel,Business,3580,0,0
98800364,Female,Loyal Customer,27,Business Travel,Business,3359,35,27
98800365,Male,Loyal Customer,35,Business Travel,Business,428,0,0
98800366,Male,Loyal Customer,29,Personal Travel,Eco,2801,9,0
98800367,Male,Loyal Customer,54,Business Travel,Business,1560,12,10
98800368,Female,Loyal Customer,23,Business Travel,Business,1459,0,12
98800369,Male,Loyal Customer,54,,Eco,2201,0,0
98800370,Male,Loyal Customer,54,Business Travel,Eco,1750,0,0
98800371,Male,Loyal Customer,17,Business Travel,Business,2618,0,16
98800372,Female,Loyal Customer,49,Business Travel,Business,3225,0,0
98800373,Male,Loyal Customer,48,,Business,1507,6,2
98800374,Female,,10,Personal Travel,Eco,1723,0,0
98800375,Female,Loyal Customer,34,,Business,1645,0,0
98800376,Female,Loyal Customer,53,Business Travel,Business,1272,0,0
98800377,Female,Disloyal Customer,50,Personal Travel,Eco,3010,0,0
98800378,Male,Disloyal Customer,24,Business Travel,Eco,1867,5,0
98800379,Female,,47,Business Travel,Business,1476,2,0
98800380,Female,Disloyal Customer,20,Business Travel,Eco,2286,5,0
98800381,Female,Loyal Customer,50,Business Travel,Eco,1163,4,0
98800382,Female,Loyal Customer,35,Personal Travel,Eco,2236,0,0
98800383,Male,Disloyal Customer,26,,Business,2100,0,0
98800384,Female,Loyal Customer,52,Personal Travel,Eco,830,18,2
98800385,Male,,56,Personal Travel,Eco,1757,34,17
98800386,Female,Disloyal Customer,21,Business Travel,Eco,2769,14,0
98800387,Male,Loyal Customer,67,Personal Travel,Eco,3661,0,1
98800388,Male,Loyal Customer,47,Business Travel,Eco,1669,0,0
98800389,Male,,65,Personal Travel,Business,224,0,0
98800390,Female,Loyal Customer,36,Personal Travel,Eco,1634,0,0
98800391,Male,Loyal Customer,20,Personal Travel,Eco,2509,33,12
98800392,Female,Loyal Customer,35,Business Travel,Business,3878,0,0
98800393,Male,Loyal Customer,41,Personal Travel,Eco,3881,0,16
98800394,Female,Loyal Customer,57,Business Travel,Business,267,65,100
98800395,Male,Disloyal Customer,24,,Business,2128,37,30
98800396,Male,Loyal Customer,31,Personal Travel,Eco,2213,0,6
98800397,Female,Disloyal Customer,37,,Eco,2603,63,60
98800398,Female,Loyal Customer,26,,Eco,2233,0,0
98800399,Female,,48,Personal Travel,Eco,447,0,0
98800400,Female,Loyal Customer,47,Personal Travel,Eco,786,0,0
98800401,Male,Disloyal Customer,22,Business Travel,Business,1572,0,4
98800402,Male,Loyal Customer,23,Personal Travel,Eco,1936,0,13
98800403,Female,Loyal Customer,24,Personal Travel,Eco,1377,0,0
98800404,Female,Loyal Customer,68,Personal Travel,Eco,1931,108,131
98800405,Female,,36,Business Travel,Eco,991,0,0
98800406,Male,Disloyal Customer,52,Business Travel,Eco,2110,0,22
98800407,Female,Disloyal Customer,24,Business Travel,Eco,2202,0,0
98800408,Female,Loyal Customer,25,Personal Travel,Eco,1374,0,0
98800409,Female,Loyal Customer,40,Business Travel,Business,530,81,130
98800410,Female,Disloyal Customer,10,Business Travel,Eco,2604,21,12
98800411,Male,Disloyal Customer,18,Business Travel,Eco,1146,84,89
98800412,Male,Loyal Customer,60,Business Travel,Business,576,0,0
98800413,Male,Loyal Customer,71,Business Travel,Eco,1493,0,0
98800414,Female,Loyal Customer,51,,Business,430,0,0
98800415,Female,,40,Personal Travel,Eco,1666,0,0
98800416,Female,Loyal Customer,51,Personal Travel,Eco,66,0,21
98800417,Female,Loyal Customer,59,Business Travel,Business,516,91,107
98800418,Male,Loyal Customer,48,Business Travel,Eco,1333,0,0
98800419,Male,Loyal Customer,58,Business Travel,Eco,2399,0,NA
98800420,Female,Loyal Customer,52,Personal Travel,Eco,527,0,0
98800421,Female,Loyal Customer,58,Business Travel,Business,3395,4,0
98800422,Female,Loyal Customer,60,Business Travel,Business,2442,12,0
98800423,Female,Loyal Customer,21,Personal Travel,Eco,1894,0,0
98800424,Female,Loyal Customer,43,Business Travel,Business,2765,10,7
98800425,Male,Loyal Customer,64,Personal Travel,Eco,1960,0,0
98800426,Male,Loyal Customer,13,Business Travel,Business,2820,22,66
98800427,Female,Loyal Customer,44,Business Travel,Eco,267,0,0
